,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
12,0.6774740219116211,0.0023283775946233817,0.05717921257019043,0.00022604432667777923,gini,10,sqrt,50,1234,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7561190350413806,0.7501320655044902,0.7569566748855231,0.7499119408242338,0.753279929063907,0.0032722840784144363,11
15,0.6764690279960632,0.0015015036469834926,0.057204484939575195,0.0004749705915195665,gini,10,log2,50,1234,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7561190350413806,0.7501320655044902,0.7569566748855231,0.7499119408242338,0.753279929063907,0.0032722840784144363,11
28,0.951470673084259,0.01996827668225646,0.07164967060089111,0.005599783569053463,entropy,5,log2,100,1234,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7462581440394436,0.7474907554146857,0.7405776681930257,0.7451567453328637,0.7448708282450046,0.002612548339312117,13
25,1.2499939799308777,0.11017112664556167,0.09301471710205078,0.01618674617563271,entropy,5,sqrt,100,1234,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7462581440394436,0.7474907554146857,0.7405776681930257,0.7451567453328637,0.7448708282450046,0.002612548339312117,13
10,0.8943489789962769,0.005721897358009425,0.06764644384384155,0.0005877704022960907,gini,5,log2,100,1234,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7480190174326465,0.745905969360803,0.7398731947868968,0.7432194434660092,0.7442544062615889,0.0030482011053302067,15
7,0.9582944512367249,0.06691002886423095,0.06737077236175537,0.0008103337279556604,gini,5,sqrt,100,1234,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7480190174326465,0.745905969360803,0.7398731947868968,0.7432194434660092,0.7442544062615889,0.0030482011053302067,15
8,1.7626581192016602,0.004433290214828396,0.13241064548492432,0.0007696152564318162,gini,5,sqrt,200,1234,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7466103187180841,0.7441450959675999,0.7389926030292356,0.7463895737935893,0.7440343978771272,0.0030665196531173373,17
11,1.7653620839118958,0.005818300121890765,0.13247114419937134,0.0004952697491166424,gini,5,log2,200,1234,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7466103187180841,0.7441450959675999,0.7389926030292356,0.7463895737935893,0.7440343978771272,0.0030665196531173373,17
27,0.5819488763809204,0.0880858042210081,0.039746642112731934,0.0031960622198426124,entropy,5,log2,50,1234,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7490755414685684,0.7434407466103187,0.7396970764353645,0.7432194434660092,0.7438582019950651,0.0033584921677020517,19
24,0.5914426445960999,0.007847582450652759,0.043196141719818115,0.005470492223005444,entropy,5,sqrt,50,1234,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7490755414685684,0.7434407466103187,0.7396970764353645,0.7432194434660092,0.7438582019950651,0.0033584921677020517,19
29,2.0764402747154236,0.10308542223578267,0.16851770877838135,0.05298590427417734,entropy,5,log2,200,1234,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7452016200035217,0.7437929212889594,0.7391687213807678,0.7458612187389926,0.7435061203530604,0.0026132590808132686,21
26,3.4339930415153503,0.30757065932718,0.21818166971206665,0.03545499453125338,entropy,5,sqrt,200,1234,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7452016200035217,0.7437929212889594,0.7391687213807678,0.7458612187389926,0.7435061203530604,0.0026132590808132686,21
9,0.45674067735671997,0.001805425397670339,0.03519415855407715,0.0006111873877249594,gini,5,log2,50,1234,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7469624933967248,0.7423842225743968,0.7398731947868968,0.7437477985206058,0.7432419273196562,0.0025584435655831715,23
6,0.5377870798110962,0.023966349883232953,0.04197925329208374,0.010465658510439506,gini,5,sqrt,50,1234,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7469624933967248,0.7423842225743968,0.7398731947868968,0.7437477985206058,0.7432419273196562,0.0025584435655831715,23
0,0.41211986541748047,0.03628172058300713,0.031019747257232666,0.0016000466804454742,gini,3,sqrt,50,1234,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7376298644127487,0.7388624757879908,0.7347657625924622,0.740049313138429,0.7378268539829076,0.0019634741284605267,25
3,0.5754700303077698,0.1000159240568333,0.048504531383514404,0.015908470130915214,gini,3,log2,50,1234,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7376298644127487,0.7388624757879908,0.7347657625924622,0.740049313138429,0.7378268539829076,0.0019634741284605267,25
